experiment,convo,thread,thread_type,treatment,round_,choice,min_time
8b3417e6-0569-49c4-a320-2dc346f01e5d,0038d9d6-66af-4587-8d0d-cd83fadf0321,8c65c2ff-6a11-4077-85fb-7987362595d0,GPTThread,8,1,1,1687374071
8b3417e6-0569-49c4-a320-2dc346f01e5d,0038d9d6-66af-4587-8d0d-cd83fadf0321,8c65c2ff-6a11-4077-85fb-7987362595d0,GPTThread,8,2,1,1687374071
8b3417e6-0569-49c4-a320-2dc346f01e5d,0038d9d6-66af-4587-8d0d-cd83fadf0321,8c65c2ff-6a11-4077-85fb-7987362595d0,GPTThread,8,3,1,1687374071
8b3417e6-0569-49c4-a320-2dc346f01e5d,0038d9d6-66af-4587-8d0d-cd83fadf0321,8c65c2ff-6a11-4077-85fb-7987362595d0,GPTThread,8,4,1,1687374071
8b3417e6-0569-49c4-a320-2dc346f01e5d,0038d9d6-66af-4587-8d0d-cd83fadf0321,8c65c2ff-6a11-4077-85fb-7987362595d0,GPTThread,8,5,1,1687374071
8b3417e6-0569-49c4-a320-2dc346f01e5d,0038d9d6-66af-4587-8d0d-cd83fadf0321,8c65c2ff-6a11-4077-85fb-7987362595d0,GPTThread,8,6,1,1687374071
8b3417e6-0569-49c4-a320-2dc346f01e5d,0038d9d6-66af-4587-8d0d-cd83fadf0321,8c65c2ff-6a11-4077-85fb-7987362595d0,GPTThread,8,7,1,1687374071
8b3417e6-0569-49c4-a320-2dc346f01e5d,0038d9d6-66af-4587-8d0d-cd83fadf0321,8c65c2ff-6a11-4077-85fb-7987362595d0,GPTThread,8,8,1,1687374071
8b3417e6-0569-49c4-a320-2dc346f01e5d,0038d9d6-66af-4587-8d0d-cd83fadf0321,8c65c2ff-6a11-4077-85fb-7987362595d0,GPTThread,8,9,1,1687374071
8b3417e6-0569-49c4-a320-2dc346f01e5d,0038d9d6-66af-4587-8d0d-cd83fadf0321,8c65c2ff-6a11-4077-85fb-7987362595d0,GPTThread,8,10,1,1687374071
8b3417e6-0569-49c4-a320-2dc346f01e5d,0038d9d6-66af-4587-8d0d-cd83fadf0321,e72fe193-f20f-4a93-b5a5-3816e2ee2132,GPTThread,8,1,1,1687374069
8b3417e6-0569-49c4-a320-2dc346f01e5d,0038d9d6-66af-4587-8d0d-cd83fadf0321,e72fe193-f20f-4a93-b5a5-3816e2ee2132,GPTThread,8,2,1,1687374069
8b3417e6-0569-49c4-a320-2dc346f01e5d,0038d9d6-66af-4587-8d0d-cd83fadf0321,e72fe193-f20f-4a93-b5a5-3816e2ee2132,GPTThread,8,3,1,1687374069
8b3417e6-0569-49c4-a320-2dc346f01e5d,0038d9d6-66af-4587-8d0d-cd83fadf0321,e72fe193-f20f-4a93-b5a5-3816e2ee2132,GPTThread,8,4,1,1687374069
8b3417e6-0569-49c4-a320-2dc346f01e5d,0038d9d6-66af-4587-8d0d-cd83fadf0321,e72fe193-f20f-4a93-b5a5-3816e2ee2132,GPTThread,8,5,1,1687374069
8b3417e6-0569-49c4-a320-2dc346f01e5d,0038d9d6-66af-4587-8d0d-cd83fadf0321,e72fe193-f20f-4a93-b5a5-3816e2ee2132,GPTThread,8,6,1,1687374069
8b3417e6-0569-49c4-a320-2dc346f01e5d,0038d9d6-66af-4587-8d0d-cd83fadf0321,e72fe193-f20f-4a93-b5a5-3816e2ee2132,GPTThread,8,7,1,1687374069
8b3417e6-0569-49c4-a320-2dc346f01e5d,0038d9d6-66af-4587-8d0d-cd83fadf0321,e72fe193-f20f-4a93-b5a5-3816e2ee2132,GPTThread,8,8,1,1687374069
8b3417e6-0569-49c4-a320-2dc346f01e5d,0038d9d6-66af-4587-8d0d-cd83fadf0321,e72fe193-f20f-4a93-b5a5-3816e2ee2132,GPTThread,8,9,1,1687374069
8b3417e6-0569-49c4-a320-2dc346f01e5d,0038d9d6-66af-4587-8d0d-cd83fadf0321,e72fe193-f20f-4a93-b5a5-3816e2ee2132,GPTThread,8,10,1,1687374069
8b3417e6-0569-49c4-a320-2dc346f01e5d,005025dc-ddac-4d5f-bd9a-69e10bd9dd01,3b4f06c7-9bb3-497c-acf9-33133602c560,GPTThread,5,1,2,1687426524
8b3417e6-0569-49c4-a320-2dc346f01e5d,005025dc-ddac-4d5f-bd9a-69e10bd9dd01,3b4f06c7-9bb3-497c-acf9-33133602c560,GPTThread,5,2,2,1687426524
8b3417e6-0569-49c4-a320-2dc346f01e5d,005025dc-ddac-4d5f-bd9a-69e10bd9dd01,3b4f06c7-9bb3-497c-acf9-33133602c560,GPTThread,5,3,2,1687426524
8b3417e6-0569-49c4-a320-2dc346f01e5d,005025dc-ddac-4d5f-bd9a-69e10bd9dd01,3b4f06c7-9bb3-497c-acf9-33133602c560,GPTThread,5,4,2,1687426524
8b3417e6-0569-49c4-a320-2dc346f01e5d,005025dc-ddac-4d5f-bd9a-69e10bd9dd01,3b4f06c7-9bb3-497c-acf9-33133602c560,GPTThread,5,5,2,1687426524
8b3417e6-0569-49c4-a320-2dc346f01e5d,005025dc-ddac-4d5f-bd9a-69e10bd9dd01,3b4f06c7-9bb3-497c-acf9-33133602c560,GPTThread,5,6,2,1687426524
8b3417e6-0569-49c4-a320-2dc346f01e5d,005025dc-ddac-4d5f-bd9a-69e10bd9dd01,3b4f06c7-9bb3-497c-acf9-33133602c560,GPTThread,5,7,2,1687426524
8b3417e6-0569-49c4-a320-2dc346f01e5d,005025dc-ddac-4d5f-bd9a-69e10bd9dd01,3b4f06c7-9bb3-497c-acf9-33133602c560,GPTThread,5,8,2,1687426524
8b3417e6-0569-49c4-a320-2dc346f01e5d,005025dc-ddac-4d5f-bd9a-69e10bd9dd01,3b4f06c7-9bb3-497c-acf9-33133602c560,GPTThread,5,9,2,1687426524
8b3417e6-0569-49c4-a320-2dc346f01e5d,005025dc-ddac-4d5f-bd9a-69e10bd9dd01,3b4f06c7-9bb3-497c-acf9-33133602c560,GPTThread,5,10,2,1687426524
8b3417e6-0569-49c4-a320-2dc346f01e5d,005025dc-ddac-4d5f-bd9a-69e10bd9dd01,5d864928-028d-449d-a6f6-6d10f4fca9e2,GPTThread,5,1,2,1687426526
8b3417e6-0569-49c4-a320-2dc346f01e5d,005025dc-ddac-4d5f-bd9a-69e10bd9dd01,5d864928-028d-449d-a6f6-6d10f4fca9e2,GPTThread,5,2,2,1687426526
8b3417e6-0569-49c4-a320-2dc346f01e5d,005025dc-ddac-4d5f-bd9a-69e10bd9dd01,5d864928-028d-449d-a6f6-6d10f4fca9e2,GPTThread,5,3,2,1687426526
8b3417e6-0569-49c4-a320-2dc346f01e5d,005025dc-ddac-4d5f-bd9a-69e10bd9dd01,5d864928-028d-449d-a6f6-6d10f4fca9e2,GPTThread,5,4,2,1687426526
8b3417e6-0569-49c4-a320-2dc346f01e5d,005025dc-ddac-4d5f-bd9a-69e10bd9dd01,5d864928-028d-449d-a6f6-6d10f4fca9e2,GPTThread,5,5,2,1687426526
8b3417e6-0569-49c4-a320-2dc346f01e5d,005025dc-ddac-4d5f-bd9a-69e10bd9dd01,5d864928-028d-449d-a6f6-6d10f4fca9e2,GPTThread,5,6,2,1687426526
8b3417e6-0569-49c4-a320-2dc346f01e5d,005025dc-ddac-4d5f-bd9a-69e10bd9dd01,5d864928-028d-449d-a6f6-6d10f4fca9e2,GPTThread,5,7,2,1687426526
8b3417e6-0569-49c4-a320-2dc346f01e5d,005025dc-ddac-4d5f-bd9a-69e10bd9dd01,5d864928-028d-449d-a6f6-6d10f4fca9e2,GPTThread,5,8,2,1687426526
8b3417e6-0569-49c4-a320-2dc346f01e5d,005025dc-ddac-4d5f-bd9a-69e10bd9dd01,5d864928-028d-449d-a6f6-6d10f4fca9e2,GPTThread,5,9,2,1687426526
8b3417e6-0569-49c4-a320-2dc346f01e5d,005025dc-ddac-4d5f-bd9a-69e10bd9dd01,5d864928-028d-449d-a6f6-6d10f4fca9e2,GPTThread,5,10,2,1687426526
8b3417e6-0569-49c4-a320-2dc346f01e5d,00be1e1e-0755-43cc-90bc-506c0e8a5f86,9c09cf8e-19f0-492d-9392-cda71fb68df9,GPTThread,4,1,1,1687405965
8b3417e6-0569-49c4-a320-2dc346f01e5d,00be1e1e-0755-43cc-90bc-506c0e8a5f86,9c09cf8e-19f0-492d-9392-cda71fb68df9,GPTThread,4,2,2,1687405965
8b3417e6-0569-49c4-a320-2dc346f01e5d,00be1e1e-0755-43cc-90bc-506c0e8a5f86,9c09cf8e-19f0-492d-9392-cda71fb68df9,GPTThread,4,3,1,1687405965
8b3417e6-0569-49c4-a320-2dc346f01e5d,00be1e1e-0755-43cc-90bc-506c0e8a5f86,9c09cf8e-19f0-492d-9392-cda71fb68df9,GPTThread,4,4,1,1687405965
8b3417e6-0569-49c4-a320-2dc346f01e5d,00be1e1e-0755-43cc-90bc-506c0e8a5f86,9c09cf8e-19f0-492d-9392-cda71fb68df9,GPTThread,4,5,1,1687405965
8b3417e6-0569-49c4-a320-2dc346f01e5d,00be1e1e-0755-43cc-90bc-506c0e8a5f86,9c09cf8e-19f0-492d-9392-cda71fb68df9,GPTThread,4,6,1,1687405965
8b3417e6-0569-49c4-a320-2dc346f01e5d,00be1e1e-0755-43cc-90bc-506c0e8a5f86,9c09cf8e-19f0-492d-9392-cda71fb68df9,GPTThread,4,7,1,1687405965
8b3417e6-0569-49c4-a320-2dc346f01e5d,00be1e1e-0755-43cc-90bc-506c0e8a5f86,9c09cf8e-19f0-492d-9392-cda71fb68df9,GPTThread,4,8,1,1687405965
8b3417e6-0569-49c4-a320-2dc346f01e5d,00be1e1e-0755-43cc-90bc-506c0e8a5f86,9c09cf8e-19f0-492d-9392-cda71fb68df9,GPTThread,4,9,1,1687405965
